Equipo,Puntos
Girona,21
Barcelona,18
Ath Bilbao,18
Real Madrid,15
Vallecano,15
Almeria,12
Las Palmas,12
Valencia,12
Getafe,12
Ath Madrid,12
Sociedad,12
Betis,12
Cadiz,12
Osasuna,9
Celta,9
Sevilla,9
Alaves,9
Mallorca,6
Villarreal,6
Granada,6
