Equipo,Puntos
Sociedad,6
Las Palmas,6
Cadiz,6
Valencia,6
Almeria,6
Ath Bilbao,6
Barcelona,6
Getafe,6
Girona,6
Vallecano,6
Sevilla,3
Alaves,3
Villarreal,3
Real Madrid,3
Osasuna,3
Mallorca,3
Betis,3
Ath Madrid,3
Celta,3
Granada,3
