Equipo,Puntos
Cadiz,9
Almeria,9
Sociedad,9
Girona,9
Ath Bilbao,6
Osasuna,6
Real Madrid,6
Alaves,6
Vallecano,6
Las Palmas,6
Valencia,6
Betis,6
Getafe,6
Mallorca,6
Barcelona,6
Villarreal,3
Sevilla,3
Ath Madrid,3
Celta,3
Granada,3
