Equipo,Puntos
Girona,27
Barcelona,24
Ath Bilbao,21
Real Madrid,21
Ath Madrid,18
Vallecano,15
Sociedad,15
Getafe,15
Las Palmas,15
Valencia,15
Betis,12
Osasuna,12
Sevilla,12
Alaves,12
Villarreal,12
Almeria,12
Celta,12
Cadiz,12
Mallorca,9
Granada,6
