Equipo,Puntos
Girona,24
Barcelona,21
Ath Bilbao,21
Real Madrid,18
Ath Madrid,15
Vallecano,15
Las Palmas,12
Alaves,12
Betis,12
Sevilla,12
Sociedad,12
Getafe,12
Valencia,12
Cadiz,12
Celta,12
Almeria,12
Osasuna,9
Mallorca,9
Villarreal,9
Granada,6
