Equipo,Puntos
Girona,18
Barcelona,15
Ath Bilbao,15
Real Madrid,15
Vallecano,12
Sociedad,12
Cadiz,12
Valencia,12
Getafe,9
Ath Madrid,9
Osasuna,9
Celta,9
Las Palmas,9
Almeria,9
Sevilla,9
Betis,9
Mallorca,6
Alaves,6
Villarreal,6
Granada,6
