Equipo,Puntos
Barcelona,30
Ath Madrid,27
Real Madrid,24
Sevilla,21
Villarreal,21
Sociedad,21
Ath Bilbao,18
Girona,16
Cadiz,15
Mallorca,15
Celta,12
Vallecano,12
Granada,10
Almeria,9
Valencia,9
Betis,9
Getafe,9
Alaves,9
Osasuna,6
Las Palmas,3
