Equipo,Puntos
Barcelona,39
Ath Madrid,36
Real Madrid,30
Villarreal,27
Sevilla,27
Ath Bilbao,24
Girona,22
Sociedad,21
Celta,15
Mallorca,15
Getafe,15
Cadiz,15
Betis,15
Vallecano,15
Almeria,15
Granada,13
Alaves,12
Valencia,12
Osasuna,10
Las Palmas,4
