Equipo,Puntos
Barcelona,24
Ath Madrid,21
Sociedad,18
Sevilla,18
Villarreal,18
Real Madrid,18
Ath Bilbao,15
Girona,13
Mallorca,12
Granada,10
Valencia,9
Celta,9
Almeria,9
Vallecano,9
Cadiz,9
Betis,9
Getafe,6
Las Palmas,3
Alaves,3
Osasuna,3
