Equipo,Puntos
Almeria,3
Sevilla,3
Villarreal,3
Sociedad,3
Barcelona,3
Ath Bilbao,3
Mallorca,3
Alaves,3
Celta,3
Ath Madrid,3
Vallecano,0
Betis,0
Getafe,0
Osasuna,0
Girona,0
Las Palmas,0
Granada,0
Valencia,0
Cadiz,0
Real Madrid,0
