Equipo,Puntos
Ath Bilbao,15
Sociedad,15
Mallorca,12
Valencia,12
Barcelona,12
Almeria,12
Sevilla,9
Las Palmas,6
Getafe,6
Vallecano,6
Ath Madrid,6
Celta,6
Cadiz,6
Betis,6
Girona,4
Alaves,3
Villarreal,3
Real Madrid,3
Osasuna,3
Granada,1
