Equipo,Puntos
Sociedad,18
Almeria,15
Barcelona,15
Ath Bilbao,15
Mallorca,12
Valencia,12
Sevilla,9
Betis,9
Ath Madrid,9
Girona,7
Getafe,6
Osasuna,6
Cadiz,6
Las Palmas,6
Celta,6
Alaves,6
Villarreal,6
Vallecano,6
Granada,4
Real Madrid,3
