Equipo,Puntos
Mallorca,6
Barcelona,6
Sociedad,6
Real Madrid,6
Sevilla,6
Ath Madrid,6
Vallecano,6
Celta,3
Girona,3
Las Palmas,3
Ath Bilbao,3
Villarreal,3
Cadiz,3
Betis,0
Getafe,0
Granada,0
Alaves,0
Valencia,0
Osasuna,0
Almeria,0
