Equipo,Puntos
Ath Bilbao,27
Almeria,24
Barcelona,24
Mallorca,21
Ath Madrid,21
Las Palmas,21
Osasuna,21
Sociedad,21
Valencia,21
Girona,19
Getafe,16
Villarreal,15
Alaves,15
Vallecano,15
Celta,15
Sevilla,15
Betis,15
Cadiz,13
Real Madrid,9
Granada,7
