Equipo,Puntos
Sociedad,12
Barcelona,12
Real Madrid,12
Ath Bilbao,9
Sevilla,9
Ath Madrid,9
Mallorca,6
Vallecano,6
Girona,6
Villarreal,6
Valencia,6
Cadiz,6
Getafe,3
Almeria,3
Celta,3
Las Palmas,3
Granada,3
Betis,3
Alaves,0
Osasuna,0
