Equipo,Puntos
Ath Bilbao,27
Almeria,24
Barcelona,24
Mallorca,21
Ath Madrid,21
Girona,19
Sociedad,18
Las Palmas,18
Valencia,18
Osasuna,18
Vallecano,15
Getafe,15
Sevilla,15
Alaves,12
Betis,12
Cadiz,12
Celta,12
Villarreal,12
Granada,7
Real Madrid,6
