Equipo,Puntos
Barcelona,27
Ath Madrid,24
Real Madrid,21
Sevilla,21
Villarreal,21
Sociedad,18
Ath Bilbao,18
Mallorca,15
Girona,13
Cadiz,12
Celta,12
Granada,10
Almeria,9
Vallecano,9
Valencia,9
Betis,9
Getafe,6
Alaves,6
Las Palmas,3
Osasuna,3
