Equipo,Puntos
Barcelona,21
Sevilla,18
Ath Madrid,18
Real Madrid,18
Sociedad,15
Ath Bilbao,15
Villarreal,15
Girona,10
Granada,10
Mallorca,9
Cadiz,9
Vallecano,9
Valencia,9
Almeria,6
Getafe,6
Betis,6
Celta,6
Las Palmas,3
Alaves,3
Osasuna,0
