Equipo,Puntos
Sociedad,9
Barcelona,9
Sevilla,9
Ath Madrid,9
Real Madrid,9
Ath Bilbao,6
Mallorca,6
Vallecano,6
Cadiz,6
Granada,3
Celta,3
Las Palmas,3
Getafe,3
Girona,3
Villarreal,3
Valencia,3
Betis,0
Alaves,0
Osasuna,0
Almeria,0
