Equipo,Puntos
Girona,15
Vallecano,12
Ath Bilbao,12
Sociedad,12
Real Madrid,12
Barcelona,12
Almeria,9
Osasuna,9
Betis,9
Getafe,9
Cadiz,9
Valencia,9
Las Palmas,9
Mallorca,6
Sevilla,6
Celta,6
Alaves,6
Ath Madrid,6
Villarreal,6
Granada,3
