Equipo,Puntos
Girona,12
Cadiz,9
Barcelona,9
Vallecano,9
Getafe,9
Ath Bilbao,9
Almeria,9
Real Madrid,9
Sociedad,9
Las Palmas,6
Mallorca,6
Sevilla,6
Celta,6
Valencia,6
Alaves,6
Ath Madrid,6
Betis,6
Villarreal,6
Osasuna,6
Granada,3
