Equipo,Puntos
Almeria,21
Sevilla,18
Villarreal,18
Sociedad,18
Barcelona,18
Celta,18
Betis,15
Valencia,15
Ath Bilbao,15
Osasuna,15
Las Palmas,15
Alaves,15
Getafe,12
Mallorca,12
Granada,12
Vallecano,12
Girona,12
Real Madrid,12
Cadiz,12
Ath Madrid,12
