Equipo,Puntos
Almeria,12
Sociedad,9
Villarreal,9
Celta,9
Sevilla,9
Ath Bilbao,9
Valencia,9
Getafe,9
Granada,9
Osasuna,6
Real Madrid,6
Betis,6
Alaves,6
Las Palmas,6
Barcelona,6
Vallecano,6
Cadiz,6
Girona,6
Mallorca,6
Ath Madrid,3
