Equipo,Puntos
Almeria,15
Osasuna,12
Valencia,12
Sevilla,12
Celta,12
Villarreal,12
Granada,12
Ath Bilbao,12
Sociedad,12
Vallecano,9
Getafe,9
Cadiz,9
Real Madrid,9
Mallorca,9
Alaves,9
Betis,9
Las Palmas,9
Barcelona,9
Girona,9
Ath Madrid,6
