Equipo,Puntos
Almeria,18
Sociedad,15
Granada,12
Las Palmas,12
Osasuna,12
Valencia,12
Girona,12
Celta,12
Ath Bilbao,12
Vallecano,12
Barcelona,12
Villarreal,12
Alaves,12
Getafe,12
Betis,12
Sevilla,12
Mallorca,9
Cadiz,9
Real Madrid,9
Ath Madrid,9
