Equipo,Puntos
Almeria,24
Barcelona,21
Celta,21
Sevilla,18
Betis,18
Sociedad,18
Villarreal,18
Ath Bilbao,18
Cadiz,15
Granada,15
Ath Madrid,15
Osasuna,15
Valencia,15
Mallorca,15
Las Palmas,15
Vallecano,15
Alaves,15
Getafe,12
Girona,12
Real Madrid,12
