Equipo,Puntos
Sociedad,6
Almeria,6
Granada,3
Getafe,3
Betis,3
Cadiz,3
Girona,3
Celta,3
Valencia,3
Villarreal,3
Ath Madrid,3
Mallorca,3
Osasuna,3
Sevilla,3
Barcelona,3
Las Palmas,3
Alaves,3
Ath Bilbao,3
Vallecano,0
Real Madrid,0
