Equipo,Puntos
Almeria,9
Granada,6
Celta,6
Ath Bilbao,6
Las Palmas,6
Sevilla,6
Sociedad,6
Villarreal,6
Getafe,6
Valencia,6
Cadiz,3
Vallecano,3
Osasuna,3
Alaves,3
Girona,3
Barcelona,3
Ath Madrid,3
Betis,3
Mallorca,3
Real Madrid,0
