Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
25/08/13,Levante,Sevilla,0,0,D,0,0,D,8,18,3,3,17,18,5,7,3,5,0,0
25/08/13,Malaga,Barcelona,0,1,A,0,1,A,9,15,3,11,14,12,2,11,3,2,0,0
26/08/13,Granada,Real Madrid,0,1,A,0,1,A,8,21,3,8,14,10,5,8,4,2,0,0
30/08/13,Almeria,Elche,2,2,D,2,1,H,9,15,5,9,18,18,4,5,3,5,1,0
30/08/13,Vallecano,Levante,1,2,A,0,1,A,23,6,8,2,14,17,8,1,4,3,1,0
31/08/13,Celta,Granada,1,1,D,1,0,H,17,3,4,1,9,6,6,5,1,2,0,0
31/08/13,Osasuna,Villarreal,0,3,A,0,2,A,9,9,3,4,15,14,7,8,3,2,0,0
31/08/13,Valladolid,Getafe,1,0,H,0,0,D,21,16,6,0,19,8,10,5,2,2,0,0
01/09/13,Espanol,Betis,0,0,D,0,0,D,10,8,3,3,19,14,7,7,2,4,0,0
01/09/13,Real Madrid,Ath Bilbao,3,1,H,2,0,H,20,12,7,2,15,13,9,6,1,2,0,0
01/09/13,Sevilla,Malaga,2,2,D,1,1,D,15,15,7,6,17,13,10,1,3,3,0,1
01/09/13,Sociedad,Ath Madrid,1,2,A,0,1,A,10,16,4,9,19,21,5,5,2,4,0,0
01/09/13,Valencia,Barcelona,2,3,A,2,3,A,16,20,10,9,20,11,5,7,2,3,0,0
14/09/13,Ath Madrid,Almeria,4,2,H,2,1,H,20,7,8,2,15,17,8,1,2,4,0,0
14/09/13,Barcelona,Sevilla,3,2,H,1,0,H,19,7,10,2,12,17,6,9,2,5,0,0
14/09/13,Levante,Sociedad,0,0,D,0,0,D,13,13,5,3,16,12,5,1,3,1,0,0
14/09/13,Villarreal,Real Madrid,2,2,D,1,1,D,19,20,9,6,14,13,10,3,2,3,0,0
15/09/13,Betis,Valencia,3,1,H,3,0,H,21,5,9,2,15,3,7,13,0,1,0,0
15/09/13,Getafe,Osasuna,2,1,H,1,1,D,14,11,5,6,15,17,7,4,2,4,0,0
