Pos,Equipo,Puntos,Juegos,Ganados,Empatados,Perdidos,Favor,Contra
1,Real Madrid,12,4,4,0,0,8,2
2,Girona,10,4,3,1,0,7,2
3,Barcelona,10,4,3,1,0,8,4
4,Atlético,7,3,2,1,0,10,1
5,Athletic,7,4,2,1,1,6,4
6,Cádiz,7,4,2,1,1,5,4
7,Real Betis,7,4,2,1,1,5,5
8,Real Sociedad,6,4,1,3,0,7,5
9,Deportivo Alavés,6,4,2,0,2,5,5
10,Osasuna,6,4,2,0,2,5,5
11,Valencia,6,4,2,0,2,4,4
12,Rayo Vallecano,6,4,2,0,2,4,8
13,Celta,4,4,1,1,2,4,6
14,Getafe,4,4,1,1,2,2,5
15,Villarreal,3,4,1,0,3,6,9
16,Granada,3,4,1,0,3,7,12
17,Mallorca,2,4,0,2,2,3,5
18,Las Palmas,2,4,0,2,2,1,3
19,Almería,1,4,0,1,3,4,9
20,Sevilla,0,3,0,0,3,5,8
