Pos,Equipo,Puntos,Juegos,Ganados,Empatados,Perdidos,Favor,Contra
1,Real Madrid,9,3,3,0,0,6,1
2,Atlético,7,3,2,1,0,10,1
3,Girona,7,3,2,1,0,6,2
4,Barcelona,7,3,2,1,0,6,3
5,Athletic,6,3,2,0,1,6,4
6,Osasuna,6,3,2,0,1,4,3
7,Valencia,6,3,2,0,1,4,3
8,Rayo Vallecano,6,3,2,0,1,4,7
9,Real Betis,4,3,1,1,1,4,5
10,Cádiz,4,3,1,1,1,2,3
11,Getafe,4,3,1,1,1,1,3
12,Real Sociedad,3,3,0,3,0,2,2
13,Villarreal,3,3,1,0,2,5,6
14,Deportivo Alavés,3,3,1,0,2,4,5
15,Granada,3,3,1,0,2,4,7
16,Las Palmas,2,3,0,2,1,1,2
17,Mallorca,1,3,0,1,2,3,5
18,Celta,1,3,0,1,2,1,4
19,Almería,1,3,0,1,2,2,6
20,Sevilla,0,3,0,0,3,5,8
