Pos,Equipo,Puntos,Juegos,Ganados,Empatados,Perdidos,Favor,Contra
1,Real Madrid,15,5,5,0,0,10,3
2,Barcelona,13,5,4,1,0,13,4
3,Girona,13,5,4,1,0,11,4
4,Athletic,10,5,3,1,1,9,4
5,Valencia,9,5,3,0,2,7,4
6,Rayo Vallecano,9,5,3,0,2,6,8
7,Atlético,7,4,2,1,1,10,4
8,Cádiz,7,5,2,1,2,5,7
9,Getafe,7,5,2,1,2,5,7
10,Real Betis,7,5,2,1,2,5,10
11,Real Sociedad,6,5,1,3,1,8,7
12,Osasuna,6,5,2,0,3,7,8
13,Villarreal,6,5,2,0,3,8,10
14,Deportivo Alavés,6,5,2,0,3,5,7
15,Mallorca,5,5,1,2,2,4,5
16,Celta,4,5,1,1,3,4,7
17,Sevilla,3,4,1,0,3,6,8
18,Granada,3,5,1,0,4,9,16
19,Las Palmas,2,5,0,2,3,1,4
20,Almería,1,5,0,1,4,5,11
