Pos,Equipo,Puntos,Juegos,Ganados,Empatados,Perdidos,Favor,Contra
1,Barcelona,16,6,5,1,0,16,6
2,Girona,16,6,5,1,0,16,7
3,Real Madrid,15,6,5,0,1,11,6
4,Ath Bilbao,13,6,4,1,1,11,4
5,Ath Madrid,10,5,3,1,1,13,5
6,Valencia,10,6,3,1,2,9,6
7,Vallecano,10,6,3,1,2,7,9
8,Sociedad,9,6,2,3,1,12,10
9,Cadiz,8,6,2,2,2,6,8
10,Betis,8,6,2,2,2,6,11
11,Osasuna,7,6,2,1,3,7,8
12,Villarreal,7,6,2,1,3,9,11
13,Getafe,7,6,2,1,3,8,11
14,Alaves,6,6,2,0,4,5,9
15,Las Palmas,5,6,1,2,3,2,4
16,Mallorca,5,6,1,2,3,7,10
17,Sevilla,4,5,1,1,3,6,8
18,Celta,4,6,1,1,4,6,10
19,Granada,3,6,1,0,5,9,17
20,Almeria,2,6,0,2,4,7,13
