Pos,Equipo,Puntos,Juegos,Ganados,Empatados,Perdidos,Favor,Contra
1,Real Madrid,24,9,8,0,1,20,6
2,Girona,22,9,7,1,1,19,11
3,Barcelona,21,9,6,3,0,21,10
4,Ath Madrid,19,8,6,1,1,20,8
5,Ath Bilbao,17,9,5,2,2,16,9
6,Sociedad,15,9,4,3,2,17,12
7,Vallecano,13,9,3,4,2,11,13
8,Betis,13,9,3,4,2,11,13
9,Valencia,11,9,3,2,4,10,11
10,Las Palmas,11,9,3,2,4,6,8
11,Getafe,10,9,2,4,3,12,15
12,Osasuna,10,9,3,1,5,9,14
13,Cadiz,9,9,2,3,4,8,12
14,Sevilla,8,8,2,2,4,13,12
15,Mallorca,8,9,1,5,3,12,15
16,Villarreal,8,9,2,2,5,11,15
17,Alaves,8,9,2,2,5,7,13
18,Celta,6,9,1,3,5,10,15
19,Granada,6,9,1,3,5,15,23
20,Almeria,3,9,0,3,6,11,24
