Pos,Equipo,Puntos,Juegos,Ganados,Empatados,Perdidos,Favor,Contra
1,Girona,31,12,10,1,1,29,15
2,Real Madrid,29,12,9,2,1,23,8
3,Barcelona,27,12,8,3,1,24,12
4,Ath Madrid,25,11,8,1,2,26,11
5,Ath Bilbao,21,12,6,3,3,21,14
6,Betis,20,12,5,5,2,16,15
7,Sociedad,19,12,5,4,3,20,15
8,Valencia,18,12,5,3,4,15,13
9,Vallecano,18,12,4,6,2,14,15
10,Las Palmas,17,12,5,2,5,10,11
11,Getafe,15,12,3,6,3,14,16
12,Osasuna,13,12,4,1,7,14,20
13,Villarreal,12,12,3,3,6,17,21
14,Alaves,12,12,3,3,6,10,16
15,Sevilla,11,11,2,5,4,17,16
16,Cadiz,10,12,2,4,6,10,17
17,Mallorca,9,12,1,6,5,12,18
18,Celta,7,12,1,4,7,11,20
19,Granada,6,12,1,3,8,17,29
20,Almeria,3,12,0,3,9,14,32
