Pos,Equipo,Puntos,Juegos,Ganados,Empatados,Perdidos,Favor,Contra
1,Real Madrid,21,8,7,0,1,16,6
2,Barcelona,20,8,6,2,0,19,8
3,Girona,19,8,6,1,1,18,11
4,Ath Madrid,16,7,5,1,1,18,7
5,Sociedad,15,8,4,3,1,16,10
6,Ath Bilbao,14,8,4,2,2,13,9
7,Betis,12,8,3,3,2,10,12
8,Vallecano,12,8,3,3,2,9,11
9,Osasuna,10,8,3,1,4,9,10
10,Valencia,10,8,3,1,4,9,10
11,Getafe,9,8,2,3,3,10,13
12,Cadiz,9,8,2,3,3,8,11
13,Villarreal,8,8,2,2,4,10,13
14,Las Palmas,8,8,2,2,4,4,7
15,Sevilla,7,7,2,1,4,11,10
16,Mallorca,7,8,1,4,3,11,14
17,Alaves,7,8,2,1,5,6,12
18,Celta,5,8,1,2,5,8,13
19,Granada,5,8,1,2,5,13,21
20,Almeria,3,8,0,3,5,11,21
