Pos,Equipo,Puntos,Juegos,Ganados,Empatados,Perdidos,Favor,Contra
1,Real Madrid,28,11,9,1,1,23,8
2,Girona,28,11,9,1,1,25,13
3,Ath Madrid,25,10,8,1,1,25,9
4,Barcelona,24,11,7,3,1,23,12
5,Sociedad,19,11,5,4,2,20,14
6,Ath Bilbao,18,11,5,3,3,18,12
7,Vallecano,17,11,4,5,2,14,15
8,Betis,17,11,4,5,2,14,15
9,Valencia,15,11,4,3,4,14,13
10,Las Palmas,14,11,4,2,5,8,10
11,Getafe,12,11,2,6,3,13,16
12,Osasuna,13,11,4,1,6,12,16
13,Villarreal,12,11,3,3,5,15,18
14,Getafe,12,11,2,6,3,13,16
15,Sevilla,10,10,2,4,4,16,15
16,Cadiz,10,11,2,4,5,10,16
17,Mallorca,9,11,1,6,4,12,16
18,Celta,6,11,1,3,7,10,19
19,Granada,6,11,1,3,7,17,28
20,Almeria,3,11,0,3,8,14,31
